station_name,agency,line,station_la,station_lo,facility_id,primary_mode_served,facility_type,square_feet,year_built,county,full_address
Glen Head,MTA Long Island Rail Road (LIRR),Oyster Bay Branch,40.83222531,-73.62611822,1154,Commuter Rail,Simple At-Grade Platform Station,"8,400",1999,Nassau County,"Flushing, NY 11355"
Great Neck,MTA Long Island Rail Road (LIRR),Port Washington Branch,40.78721647,-73.72610046,1156,Commuter Rail,Simple At-Grade Platform Station,"67,990",1993,Nassau County,"Middle Neck Road and Station Plaza at Great Neck Road, GREAT NECK, NY ,11020"
Greenport,MTA Long Island Rail Road (LIRR),Ronkonkoma Branch,41.09970991,-72.36310396,1159,Commuter Rail,Simple At-Grade Platform Station,"24,203",1996,Suffolk County,"Wiggins and 4th Streets at Ferry Dock, GREENPORT, NY ,11944"
Great River,MTA Long Island Rail Road (LIRR),Montauk Branch,40.74044444,-73.17019585,1157,Commuter Rail,Simple At-Grade Platform Station,"65,635",1996,Suffolk County,"Connetquot Avenue and Hawthorne Avenue, GREAT RIVER, NY ,11739"
Glen Street,MTA Long Island Rail Road (LIRR),Oyster Bay Branch,40.85798112,-73.62121715,1155,Commuter Rail,Simple At-Grade Platform Station,"5,900",2000,Nassau County,"Cedar Swamp Road (Glen Street) and Elm Avenue, GLEN COVE, NY ,11542"
Greenvale,MTA Long Island Rail Road (LIRR),Oyster Bay Branch,40.81571566,-73.62687152,1160,Commuter Rail,Simple At-Grade Platform Station,"6,500",1999,Nassau County,"between Glen Cove Avenue and Glen Cove Road, GREENVALE, NY ,11548"
Greenlawn,MTA Long Island Rail Road (LIRR),Port Jefferson Branch,40.86866524,-73.36284977,1160,Commuter Rail,Simple At-Grade Platform Station,"6,500",1999,Nassau County,"between Glen Cove Avenue and Glen Cove Road, GREENVALE, NY ,11548"
Amityville,MTA Long Island Rail Road (LIRR),Babylon Branch,40.68024859,-73.42031192,1116,Commuter Rail,Elevated Fixed Guideway Station,"56,218",2001,Suffolk County,"John Street between Sterling Place & Oak Street, AMITYVILLE, NY ,11701"
Hampton Bays,MTA Long Island Rail Road (LIRR),Montauk Branch,40.87660916,-72.52394936,1161,Commuter Rail,Simple At-Grade Platform Station,"34,145",1996,Suffolk County,"Springville Road and Goodground Road, HAMPTON BAYS, NY ,11946"
Hempstead,MTA Long Island Rail Road (LIRR),Hempstead Branch,40.71329663,-73.62503239,1162,Commuter Rail,Simple At-Grade Platform Station,"81,712",2001,Nassau County,"West Columbia Street and Main Street, HEMPSTEAD, NY ,11549"
Hempstead Gardens,MTA Long Island Rail Road (LIRR),West Hempstead Branch,40.69491356,-73.64620888,1163,Commuter Rail,Simple At-Grade Platform Station,"14,472",1995,Nassau County,"Hempstead Gardens Drive and Chestnut Street, HEMPSTEAD GARDENS, NY ,11552"
Hollis,MTA Long Island Rail Road (LIRR),"Hempstead Branch, Ronkonkoma Branch, Port Jefferson Branch, City Terminal Zone",40.71018151,-73.76675252,1166,Commuter Rail,Simple At-Grade Platform Station,"47,100",1923,Queens County,"193rd Street and Woodhull Avenue, HOLLIS, NY ,11423"
Hunterspoint Avenue,MTA Long Island Rail Road (LIRR),"Montauk Branch, Oyster Bay Branch, Port Jefferson Branch",40.74239046,-73.94678997,1167,Commuter Rail,Simple At-Grade Platform Station,"48,746",1965,Queens County,"Hunterspoint Avenue and Skillman Avenue, HUNTERSPOINT AVE, NY ,11101"
Huntington,MTA Long Island Rail Road (LIRR),Port Jefferson Branch,40.85300971,-73.40952576,1168,Commuter Rail,Simple At-Grade Platform Station,"26,000",1996,Suffolk County,"New York Avenue (Route 110) and Broadway, HUNTINGTON, NY ,11757"
Hicksville,MTA Long Island Rail Road (LIRR),"Montauk Branch, Port Jefferson Branch, Ronkonkoma Branch",40.76717491,-73.52853322,1165,Commuter Rail,Elevated Fixed Guideway Station,"53,800",2001,Nassau County,"Newbridge Road (Route 106) and West Barclay Street, HICKSVILLE, NY ,11801"
Hewlett,MTA Long Island Rail Road (LIRR),Far Rockaway Branch,40.63676432,-73.70513866,1164,Commuter Rail,Simple At-Grade Platform Station,"75,282",2003,Nassau County,"Franklin Avenue between Broadway and West Broadway, HEWLETT, NY ,11557"
Island Park,MTA Long Island Rail Road (LIRR),Long Beach Branch,40.60129906,-73.65474248,1170,Commuter Rail,Simple At-Grade Platform Station,"66,010",1990,Nassau County,"Long Beach Road and Austin Boulevard, ISLAND PARK, NY ,11558"
